,Date,Price
0,2025-04-25,281.25
1,2025-04-24,281.62
2,2025-04-23,280.6
3,2025-04-22,280.6
4,2025-04-21,280.55
5,2025-04-20,280.2
6,2025-04-19,280.2
7,2025-04-18,280.2
8,2025-04-17,280.4
9,2025-04-16,280.18
10,2025-04-15,280.55
11,2025-04-14,280.2
12,2025-04-12,280.13
13,2025-04-11,280.13
14,2025-04-10,280.4
15,2025-04-09,280.5
16,2025-04-08,280.5
17,2025-04-07,280.25
18,2025-04-05,280.32
19,2025-04-04,280.32
20,2025-04-03,280.25
21,2025-04-02,279.9
22,2025-04-01,279.77
23,2025-03-31,279.77
24,2025-03-29,280.0
25,2025-03-28,280.0
26,2025-03-27,280.0
27,2025-03-26,279.87
28,2025-03-25,279.97
29,2025-03-24,279.87
30,2025-03-22,280.1
31,2025-03-21,280.0
32,2025-03-20,280.0
33,2025-03-19,279.82
34,2025-03-18,280.0
35,2025-03-17,279.95
36,2025-03-15,280.0
37,2025-03-14,280.0
38,2025-03-13,279.62
39,2025-03-12,279.95
40,2025-03-11,279.8
41,2025-03-10,279.8
42,2025-03-08,279.8
43,2025-03-07,279.8
44,2025-03-06,279.41
45,2025-03-05,279.5
46,2025-03-04,279.5
47,2025-03-03,279.37
48,2025-03-01,279.5
49,2025-02-28,279.5
50,2025-02-27,279.5
51,2025-02-26,279.75
52,2025-02-25,279.5
53,2025-02-24,279.55
54,2025-02-22,279.25
55,2025-02-21,279.25
56,2025-02-20,279.0
57,2025-02-19,279.25
58,2025-02-18,279.07
59,2025-02-17,279.1
60,2025-02-15,279.0
61,2025-02-14,279.05
62,2025-02-13,279.0
63,2025-02-12,278.62
64,2025-02-11,278.72
65,2025-02-10,278.7
66,2025-02-08,278.62
67,2025-02-07,278.62
68,2025-02-06,278.62
69,2025-02-05,278.7
70,2025-02-04,278.6
71,2025-02-03,279.0
72,2025-02-01,278.57
73,2025-01-31,278.57
74,2025-01-30,278.9
75,2025-01-29,278.25
76,2025-01-28,278.6
77,2025-01-27,278.65
78,2025-01-25,278.2
79,2025-01-24,278.2
80,2025-01-23,278.6
81,2025-01-22,278.37
82,2025-01-21,278.25
83,2025-01-20,278.65
84,2025-01-18,278.25
85,2025-01-17,278.37
86,2025-01-16,278.7
87,2025-01-15,278.37
88,2025-01-14,278.37
89,2025-01-13,278.4
90,2025-01-11,278.4
91,2025-01-10,278.4
92,2025-01-09,278.47
93,2025-01-08,278.27
94,2025-01-07,278.25
95,2025-01-06,278.25
96,2025-01-04,278.4
97,2025-01-03,278.4
98,2025-01-02,278.32
99,2025-01-01,278.12
100,2024-12-31,278.12
101,2024-12-30,278.12
102,2024-12-28,278.25
103,2024-12-27,278.25
104,2024-12-26,278.12
105,2024-12-25,278.3
106,2024-12-24,278.3
107,2024-12-23,278.5
108,2024-12-21,278.25
109,2024-12-20,278.25
110,2024-12-19,278.2
111,2024-12-18,278.15
112,2024-12-17,277.62
113,2024-12-16,277.62
114,2024-12-14,277.95
115,2024-12-13,277.95
116,2024-12-12,278.0
117,2024-12-11,278.1
118,2024-12-10,277.72
119,2024-12-09,277.62
120,2024-12-07,277.72
121,2024-12-06,277.72
122,2024-12-05,277.62
123,2024-12-04,277.5
124,2024-12-03,277.7
125,2024-12-02,277.7
126,2024-11-30,277.8
127,2024-11-29,277.8
128,2024-11-28,277.9
129,2024-11-27,277.52
130,2024-11-26,277.52
131,2024-11-25,277.7
132,2024-11-23,277.6
133,2024-11-22,277.6
134,2024-11-21,277.6
135,2024-11-20,277.8
136,2024-11-19,277.7
137,2024-11-18,277.67
138,2024-11-16,277.45
139,2024-11-15,277.45
140,2024-11-14,277.67
141,2024-11-13,277.5
142,2024-11-12,277.7
143,2024-11-11,277.8
144,2024-11-09,277.8
145,2024-11-08,277.8
146,2024-11-07,277.75
147,2024-11-06,277.5
148,2024-11-05,277.6
149,2024-11-04,277.5
150,2024-11-02,277.5
151,2024-11-01,277.5
152,2024-10-31,277.85
153,2024-10-30,277.5
154,2024-10-29,277.45
155,2024-10-28,277.45
156,2024-10-26,277.67
157,2024-10-25,277.67
158,2024-10-24,277.5
159,2024-10-23,277.7
160,2024-10-22,278.4
161,2024-10-21,277.5
162,2024-10-19,277.67
163,2024-10-18,277.67
164,2024-10-17,278.25
165,2024-10-16,277.67
166,2024-10-15,277.44
167,2024-10-14,277.5
168,2024-10-12,277.5
169,2024-10-11,277.6
170,2024-10-10,277.5
171,2024-10-09,278.15
172,2024-10-08,277.65
173,2024-10-07,277.72
174,2024-10-04,277.1
175,2024-10-03,277.72
176,2024-10-02,277.72
177,2024-10-01,277.72
178,2024-09-30,277.72
179,2024-09-27,277.4
180,2024-09-26,277.72
181,2024-09-25,277.65
182,2024-09-24,277.5
183,2024-09-23,277.85
184,2024-09-20,277.72
185,2024-09-19,277.85
186,2024-09-18,278.0
187,2024-09-17,278.12
188,2024-09-16,278.0
189,2024-09-14,278.25
190,2024-09-13,278.25
191,2024-09-12,278.0
192,2024-09-11,278.5
193,2024-09-10,278.5
194,2024-09-09,278.5
195,2024-09-07,278.45
196,2024-09-06,278.45
197,2024-09-05,278.25
198,2024-09-04,278.25
199,2024-09-03,278.25
200,2024-09-02,278.5
201,2024-08-31,278.82
202,2024-08-30,278.82
203,2024-08-29,278.25
204,2024-08-28,278.25
205,2024-08-27,278.65
206,2024-08-26,278.72
207,2024-08-23,278.25
208,2024-08-22,278.25
209,2024-08-21,278.25
210,2024-08-20,278.25
211,2024-08-19,278.25
212,2024-08-16,278.25
213,2024-08-15,278.5
214,2024-08-14,278.74
215,2024-08-13,278.25
216,2024-08-12,278.62
217,2024-08-09,278.62
218,2024-08-08,278.4
219,2024-08-07,278.62
220,2024-08-06,278.5
221,2024-08-05,278.62
222,2024-08-02,278.25
223,2024-08-01,278.53
224,2024-07-31,278.25
225,2024-07-30,278.52
226,2024-07-29,278.4
227,2024-07-26,278.25
228,2024-07-25,278.02
229,2024-07-24,278.25
230,2024-07-23,278.3
231,2024-07-22,277.8
232,2024-07-19,277.8
233,2024-07-18,278.0
234,2024-07-17,278.0
